date,time,hour,day_of_week,day_name,vehicle_count,congestion_level,congestion_duration_minutes,is_weekend,weather,temperature,visibility
2025-09-01,00:00,0,0,Monday,7,Low,9,0,Clear,23.829233126383322,5.290418060840997
2025-09-01,01:00,1,0,Monday,2,Low,10,0,Fog,22.374150964109262,10.0
2025-09-01,02:00,2,0,Monday,0,Low,7,0,Light Rain,29.082225404756635,10.0
2025-09-01,03:00,3,0,Monday,0,Low,8,0,Clear,14.301896719618803,10.0
2025-09-01,04:00,4,0,Monday,0,Low,11,0,Clear,25.6110958261134,5.8526206184364575
2025-09-01,05:00,5,0,Monday,6,Low,8,0,Light Rain,34.26139092254469,10.0
2025-09-01,06:00,6,0,Monday,27,Medium,31,0,Clear,26.044317975023777,10.0
2025-09-01,07:00,7,0,Monday,61,High,70,0,Heavy Rain,25.85684140594985,10.0
2025-09-01,08:00,8,0,Monday,92,High,47,0,Fog,22.696806145201062,10.0
2025-09-01,09:00,9,0,Monday,54,High,48,0,Clear,23.074588597918417,10.0
2025-09-01,10:00,10,0,Monday,35,Medium,33,0,Light Rain,20.803912383886807,10.0
2025-09-01,11:00,11,0,Monday,42,Medium,32,0,Fog,24.071705116680914,10.0
2025-09-01,12:00,12,0,Monday,54,High,61,0,Light Rain,24.63994939209833,10.0
2025-09-01,13:00,13,0,Monday,71,High,49,0,Fog,32.690182832329846,8.854835899772805
2025-09-01,14:00,14,0,Monday,66,High,44,0,Heavy Rain,17.906247707042986,7.542853455823514
2025-09-01,15:00,15,0,Monday,60,High,62,0,Fog,22.40864890863176,10.0
2025-09-01,16:00,16,0,Monday,72,High,48,0,Clear,22.351198981164806,10.0
2025-09-01,17:00,17,0,Monday,90,High,47,0,Clear,23.361689267011158,10.0
2025-09-01,18:00,18,0,Monday,80,High,62,0,Heavy Rain,25.025567283212304,7.0870550157438945
2025-09-01,19:00,19,0,Monday,59,High,50,0,Fog,24.169695458244675,10.0
2025-09-01,20:00,20,0,Monday,39,Medium,17,0,Fog,24.9072459774418,10.0
2025-09-01,21:00,21,0,Monday,19,Low,6,0,Clear,22.836953597259935,7.5133951161443076
2025-09-01,22:00,22,0,Monday,15,Low,10,0,Light Rain,30.714114072575104,10.0
2025-09-01,23:00,23,0,Monday,14,Low,12,0,Clear,17.990744686038596,10.0
2025-09-02,00:00,0,1,Tuesday,7,Low,16,0,Clear,25.498256825438204,10.0
2025-09-02,01:00,1,1,Tuesday,0,Low,5,0,Heavy Rain,27.36796215317591,10.0
2025-09-02,02:00,2,1,Tuesday,0,Low,14,0,Fog,29.067586086848348,9.08611100100608
2025-09-02,03:00,3,1,Tuesday,0,Low,14,0,Fog,23.970666414522476,10.0
2025-09-02,04:00,4,1,Tuesday,0,Low,13,0,Fog,28.088204227555725,10.0
2025-09-02,05:00,5,1,Tuesday,14,Low,10,0,Clear,18.915725538203805,10.0
2025-09-02,06:00,6,1,Tuesday,30,Medium,30,0,Light Rain,21.24410287668036,10.0
2025-09-02,07:00,7,1,Tuesday,59,High,65,0,Light Rain,29.702677924810047,7.841543016677358
2025-09-02,08:00,8,1,Tuesday,83,High,45,0,Heavy Rain,24.614491452929478,10.0
2025-09-02,09:00,9,1,Tuesday,46,Medium,31,0,Light Rain,32.26767038578659,10.0
2025-09-02,10:00,10,1,Tuesday,33,Medium,30,0,Clear,19.64553750969444,10.0
2025-09-02,11:00,11,1,Tuesday,42,Medium,30,0,Clear,24.635855436715637,10.0
2025-09-02,12:00,12,1,Tuesday,50,High,55,0,Heavy Rain,26.07046872065102,10.0
2025-09-02,13:00,13,1,Tuesday,53,High,34,0,Light Rain,25.76862552972764,10.0
2025-09-02,14:00,14,1,Tuesday,45,Medium,27,0,Fog,30.415256215876383,10.0
2025-09-02,15:00,15,1,Tuesday,55,High,51,0,Heavy Rain,27.568929754561044,10.0
2025-09-02,16:00,16,1,Tuesday,72,High,58,0,Heavy Rain,29.770008817466014,9.450026709087831
2025-09-02,17:00,17,1,Tuesday,83,High,61,0,Light Rain,20.72035541085316,10.0
2025-09-02,18:00,18,1,Tuesday,74,High,64,0,Fog,22.92734097305054,10.0
2025-09-02,19:00,19,1,Tuesday,55,High,63,0,Heavy Rain,25.642755000355407,10.0
2025-09-02,20:00,20,1,Tuesday,37,Medium,44,0,Heavy Rain,31.81717745475852,10.0
2025-09-02,21:00,21,1,Tuesday,29,Medium,28,0,Light Rain,21.857151262621468,10.0
2025-09-02,22:00,22,1,Tuesday,12,Low,5,0,Clear,23.328764544248163,10.0
2025-09-02,23:00,23,1,Tuesday,8,Low,10,0,Clear,31.332034276864373,6.399669484729714
2025-09-03,00:00,0,2,Wednesday,15,Low,13,0,Light Rain,31.334555745933113,10.0
2025-09-03,01:00,1,2,Wednesday,0,Low,11,0,Heavy Rain,24.702373219691,10.0
2025-09-03,02:00,2,2,Wednesday,0,Low,6,0,Heavy Rain,33.16205651965818,10.0
2025-09-03,03:00,3,2,Wednesday,0,Low,8,0,Heavy Rain,17.8206892441028,10.0
2025-09-03,04:00,4,2,Wednesday,8,Low,10,0,Clear,25.99529847786735,10.0
2025-09-03,05:00,5,2,Wednesday,4,Low,10,0,Clear,28.310653372605234,10.0
2025-09-03,06:00,6,2,Wednesday,32,Medium,42,0,Fog,24.241074524822082,10.0
2025-09-03,07:00,7,2,Wednesday,67,High,55,0,Fog,22.534995326705836,9.224376554847272
2025-09-03,08:00,8,2,Wednesday,81,High,81,0,Heavy Rain,26.810069559712353,9.017404651924242
2025-09-03,09:00,9,2,Wednesday,47,Medium,20,0,Clear,28.051851327167324,10.0
2025-09-03,10:00,10,2,Wednesday,34,Medium,35,0,Fog,27.735486905850188,10.0
2025-09-03,11:00,11,2,Wednesday,38,Medium,33,0,Light Rain,29.067548180003193,10.0
2025-09-03,12:00,12,2,Wednesday,61,High,41,0,Clear,26.62083176244221,10.0
2025-09-03,13:00,13,2,Wednesday,59,High,35,0,Fog,35.4619363784273,10.0
2025-09-03,14:00,14,2,Wednesday,39,Medium,34,0,Light Rain,28.120599085260775,5.456030515243452
2025-09-03,15:00,15,2,Wednesday,53,High,19,0,Light Rain,33.85215758283359,10.0
2025-09-03,16:00,16,2,Wednesday,68,High,61,0,Clear,22.8334829654872,10.0
